date,points,serial_number,violation_code,violation_description,violation_status
2021-02-23,1,DAABW4F6F,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-02-24,1,DAABW4F6F,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-02-25,1,DA0364788,F030,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE
2021-02-26,2,DA0364788,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-02-27,1,DA0364788,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2021-02-28,2,DA0364788,F052,# 01b. Food safety certification,OUT OF COMPLIANCE
2021-03-01,1,DA0364788,F043,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE
2021-03-02,1,DA0364788,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2021-03-03,2,DAGOB1AH8,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-03-04,1,DAGOB1AH8,F034,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",OUT OF COMPLIANCE
2021-03-05,1,DAGOB1AH8,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2021-03-06,1,DAGOB1AH8,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2021-03-07,1,DAGOB1AH8,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-03-08,1,DAGOB1AH8,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2021-03-09,1,DAFYXH8TK,F042,"# 42. Toilet facilities: properly constructed, supplied, cleaned",OUT OF COMPLIANCE
2021-03-10,1,DASQFHV2F,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-03-11,1,DASQFHV2F,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-03-12,1,DA0364754,F030,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE
2021-03-13,2,DA0364754,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-03-14,1,DA0364754,F029,"# 29. Toxic substances properly identified, stored, used",OUT OF COMPLIANCE
2021-03-15,1,DA0364754,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2021-03-16,1,DA0364754,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-03-17,2,DAP00V03Q,F006,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE
2021-03-18,1,DAP00V03Q,F046,# 46. Signs posted; last inspection report available,OUT OF COMPLIANCE
2021-03-19,1,DAP00V03Q,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-03-20,1,DAP00V03Q,F030,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE
2021-03-21,1,DAP00V03Q,F042,"# 42. Toilet facilities: properly constructed, supplied, cleaned",OUT OF COMPLIANCE
2021-03-22,1,DAP00V03Q,F048,# 47. Permits Available,OUT OF COMPLIANCE
2021-03-23,2,DAP00V03Q,F014,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE
2021-03-24,1,DAP00V03Q,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-03-25,1,DAOFD85XI,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-03-26,1,DAOFD85XI,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-03-27,1,DAOFD85XI,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2021-03-28,1,DAAVXLUJR,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-03-29,1,DAAVXLUJR,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2021-03-30,1,DAAVXLUJR,F043,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE
2021-03-31,1,DAAVXLUJR,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-04-01,2,DAYJFH7TE,F006,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE
2021-04-02,4,DAYJFH7TE,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-04-03,0,DAYJFH7TE,F049,# 50. Impoundment of unsanitary equipment or food,OUT OF COMPLIANCE
2021-04-04,1,DAYJFH7TE,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-04-05,1,DAYJFH7TE,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2021-04-06,1,DAYJFH7TE,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2021-04-07,1,DAYJFH7TE,F030,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE
2021-04-08,1,DAXWALU0T,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2021-04-09,1,DAXWALU0T,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-04-10,1,DAWRXI5A7,F025,# 25. Personal cleanliness and hair restraints,OUT OF COMPLIANCE
2021-04-11,1,DAWRXI5A7,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2021-04-12,4,DAWRXI5A7,F014,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE
2021-04-13,1,DAWRXI5A7,F029,"# 29. Toxic substances properly identified, stored, used",OUT OF COMPLIANCE
2021-04-14,1,DAWRXI5A7,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2021-04-15,1,DAGFSVR03,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-04-16,1,DAGFSVR03,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2021-04-17,1,DAGFSVR03,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2021-04-18,1,DAGFSVR03,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-04-19,1,DAGFSVR03,F030,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE
2021-04-20,1,DAZBXQSUI,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-04-21,1,DAL5J0I00,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2021-04-22,1,DAL5J0I00,F029,"# 29. Toxic substances properly identified, stored, used",OUT OF COMPLIANCE
2021-04-23,2,DAL5J0I00,F006,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE
2021-04-24,1,DAWT0NQO8,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-04-25,1,DAWT0NQO8,F030,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE
2021-04-26,2,DAWT0NQO8,F009,# 09. Proper cooling methods,OUT OF COMPLIANCE
2021-04-27,4,DAWT0NQO8,F014,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE
2021-04-28,1,DAWT0NQO8,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-04-29,1,DAWT0NQO8,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2021-04-30,1,DAPH9V6SH,F048,# 47. Permits Available,OUT OF COMPLIANCE
2021-05-01,1,DAPH9V6SH,F043,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE
2021-05-02,2,DAPH9V6SH,F014,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE
2021-05-03,4,DAPH9V6SH,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-05-04,2,DAPH9V6SH,F021,# 21b. Water available,OUT OF COMPLIANCE
2021-05-05,1,DAPH9V6SH,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2021-05-06,2,DAPH9V6SH,F006,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE
2021-05-07,1,DAPH9V6SH,F042,"# 42. Toilet facilities: properly constructed, supplied, cleaned",OUT OF COMPLIANCE
2021-05-08,1,DA3WGQELG,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-05-09,1,DA3WGQELG,F030,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE
2021-05-10,1,DA3WGQELG,F043,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE
2021-05-11,1,DA3WGQELG,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2021-05-12,1,DA3WGQELG,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2021-05-13,4,DAFK90BUN,F011,# 11. Proper reheating procedures for hot holding,OUT OF COMPLIANCE
2021-05-14,1,DAFK90BUN,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-05-15,1,DAFK90BUN,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-05-16,1,DAFK90BUN,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2021-05-17,1,DASLKBP04,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-05-18,1,DASLKBP04,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-05-19,1,DASLKBP04,F029,"# 29. Toxic substances properly identified, stored, used",OUT OF COMPLIANCE
2021-05-20,1,DASLKBP04,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2021-05-21,1,DASLKBP04,F025,# 25. Personal cleanliness and hair restraints,OUT OF COMPLIANCE
2021-05-22,1,DASLKBP04,F043,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE
2021-05-23,1,DARGNNBDM,F025,# 25. Personal cleanliness and hair restraints,OUT OF COMPLIANCE
2021-05-24,1,DARGNNBDM,F043,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE
2021-05-25,1,DARGNNBDM,F030,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE
2021-05-26,1,DARGNNBDM,F041,# 41. Garbage and refuse properly disposed; facilities maintained,OUT OF COMPLIANCE
2021-05-27,1,DARGNNBDM,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2021-05-28,1,DARGNNBDM,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-05-29,4,DARGNNBDM,F014,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE
2021-05-30,1,DAZO06BR0,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-05-31,1,DAZO06BR0,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-06-01,1,DAB8DOEQT,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-06-02,1,DAB8DOEQT,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-06-03,1,DAB8DOEQT,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-06-04,1,DAB8DOEQT,F038,# 38. Thermometers provided and accurate,OUT OF COMPLIANCE
2021-06-05,2,DAB8DOEQT,F023,"# 23. No rodents, insects, birds, or animals",OUT OF COMPLIANCE
2021-06-06,1,DA9FB0CBR,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-06-07,2,DAN2HO1LN,F006,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE
2021-06-08,4,DAN2HO1LN,F014,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE
2021-06-09,1,DAN2HO1LN,F042,"# 42. Toilet facilities: properly constructed, supplied, cleaned",OUT OF COMPLIANCE
2021-06-10,1,DAN2HO1LN,F043,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE
2021-06-11,1,DAWM70GZY,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2021-06-12,1,DAWM70GZY,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-06-13,1,DAWM70GZY,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2021-06-14,1,DAWM70GZY,F043,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE
2021-06-15,4,DAWM70GZY,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-06-16,2,DAEANGSRF,F023,"# 23. No rodents, insects, birds, or animals",OUT OF COMPLIANCE
2021-06-17,2,DAEANGSRF,F009,# 09. Proper cooling methods,OUT OF COMPLIANCE
2021-06-18,1,DAEANGSRF,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-06-19,1,DAEANGSRF,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-06-20,1,DAEANGSRF,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2021-06-21,1,DAEANGSRF,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2021-06-22,1,DAEANGSRF,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2021-06-23,1,DA2ZYY8S4,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2021-06-24,1,DA2ZYY8S4,F027,# 27. Food separated and protected,OUT OF COMPLIANCE
2021-06-25,1,DAXXGXLB2,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2021-06-26,2,DAXXGXLB2,F014,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE
2021-06-27,1,DAXXGXLB2,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-06-28,1,DASK7KIKW,F034,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",OUT OF COMPLIANCE
2021-06-29,1,DASK7KIKW,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2021-06-30,2,DAIJIPC7R,F023,"# 23. No rodents, insects, birds, or animals",OUT OF COMPLIANCE
2021-07-01,2,DAIJIPC7R,F006,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE
2021-07-02,1,DAIJIPC7R,F030,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE
2021-07-03,1,DAIJIPC7R,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2021-07-04,1,DAIJIPC7R,F029,"# 29. Toxic substances properly identified, stored, used",OUT OF COMPLIANCE
2021-07-05,1,DAIJIPC7R,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-07-06,1,DAIJIPC7R,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2021-07-07,1,DAXUOUCVG,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2021-07-08,1,DAXUOUCVG,F038,# 38. Thermometers provided and accurate,OUT OF COMPLIANCE
2021-07-09,1,DAXUOUCVG,F032,# 32. Food properly labeled & honestly presented,OUT OF COMPLIANCE
2021-07-10,2,DAAGGZ0S0,F006,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE
2021-07-11,1,DAAGGZ0S0,F027,# 27. Food separated and protected,OUT OF COMPLIANCE
2021-07-12,1,DAAGGZ0S0,F034,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",OUT OF COMPLIANCE
2021-07-13,2,DAAGGZ0S0,F023,"# 23. No rodents, insects, birds, or animals",OUT OF COMPLIANCE
2021-07-14,1,DAAGGZ0S0,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2021-07-15,1,DAAGGZ0S0,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-07-16,2,DAAGGZ0S0,F052,# 01b. Food safety certification,OUT OF COMPLIANCE
2021-07-17,1,DAIV4Q8QX,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2021-07-18,2,DAIV4Q8QX,F006,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE
2021-07-19,1,DAF0T09SI,F026,"# 26. Approved thawing methods used, frozen food maintained frozen",OUT OF COMPLIANCE
2021-07-20,4,DAF0T09SI,F021,# 21b. Water available,OUT OF COMPLIANCE
2021-07-21,4,DAF0T09SI,F005,# 05. Hands clean and properly washed; gloves used properly,OUT OF COMPLIANCE
2021-07-22,1,DAF0T09SI,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-07-23,2,DAF0T09SI,F023,"# 23. No rodents, insects, birds, or animals",OUT OF COMPLIANCE
2021-07-24,1,DAF0T09SI,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2021-07-25,2,DAF0T09SI,F013,"# 13. Food in good condition, safe and unadulterated",OUT OF COMPLIANCE
2021-07-26,1,DAF0T09SI,F043,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE
2021-07-27,1,DAF0T09SI,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-07-28,0,DAF0T09SI,F050,# 51. Permit Suspension,OUT OF COMPLIANCE
2021-07-29,2,DAG9KKCQZ,F052,# 01b. Food safety certification,OUT OF COMPLIANCE
2021-07-30,1,DAG9KKCQZ,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-07-31,4,DAG9KKCQZ,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-08-01,1,DAG9KKCQZ,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-08-02,1,DA0SMOOE3,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2021-08-03,1,DA0SMOOE3,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-08-04,1,DA0SMOOE3,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-08-05,4,DA0SMOOE3,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-08-06,1,DA0SMOOE3,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-08-07,1,DA0SMOOE3,F043,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE
2021-08-08,1,DANDORFX9,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-08-09,2,DANDORFX9,F001,# 01a. Demonstration of knowledge,OUT OF COMPLIANCE
2021-08-10,1,DANDORFX9,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-08-11,1,DANDORFX9,F027,# 27. Food separated and protected,OUT OF COMPLIANCE
2021-08-12,1,DANDORFX9,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2021-08-13,1,DAAYU8ARR,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-08-14,1,DAUFE97MF,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-08-15,1,DAUFE97MF,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-08-16,4,DAUFE97MF,F005,# 05. Hands clean and properly washed; gloves used properly,OUT OF COMPLIANCE
2021-08-17,4,DAH1XSRL6,F014,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE
2021-08-18,2,DAH1XSRL6,F052,# 01b. Food safety certification,OUT OF COMPLIANCE
2021-08-19,1,DAH1XSRL6,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2021-08-20,4,DAH1XSRL6,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-08-21,1,DAH1XSRL6,F041,# 41. Garbage and refuse properly disposed; facilities maintained,OUT OF COMPLIANCE
2021-08-22,1,DAH1XSRL6,F034,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",OUT OF COMPLIANCE
2021-08-23,1,DAH1XSRL6,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-08-24,1,DAH1XSRL6,F038,# 38. Thermometers provided and accurate,OUT OF COMPLIANCE
